player,mat_number,inns_number,no_number,runs_number,hs_number,ave_number,bf_number,sr_number,col_100_number,col_50_number,col_01_number,col_4s_number,col_6s_number
AD Mathews (SL),53,39,13,661,58,25.42,554,119.31,0,2,0,44,17
RS Bopara (Eng),36,33,8,662,65,26.48,575,115.13,0,3,0,48,15
Mohammad Shahzad (Afg),25,25,1,663,77,27.62,543,122.09,0,5,1,72,16
JH Kallis (SA),25,23,4,666,73,35.05,558,119.35,0,5,0,56,20
Ahmed Shehzad (Pak),26,26,2,666,111,27.75,544,122.42,1,3,2,72,20
LMP Simmons (WI),30,30,3,675,77,25,600,112.5,0,4,4,64,22
Tamim Iqbal (Ban),35,35,2,691,88,20.93,652,105.98,0,3,3,84,7
MEK Hussey (Aus),38,30,11,721,60,37.94,529,136.29,0,4,1,58,25
RG Sharma (India),42,35,11,739,79,30.79,586,126.1,0,7,1,61,27
Shakib Al Hasan (Ban),35,35,2,752,84,22.78,587,128.1,0,4,4,78,20
DJ Hussey (Aus),39,36,3,756,88,22.9,623,121.34,0,3,4,41,34
LJ Wright (Eng),51,45,5,759,99,18.97,554,137,0,4,9,68,31
Misbah-ul-Haq (Pak),39,34,13,788,87,37.52,715,110.2,0,3,2,45,26
MS Dhoni (India),49,44,19,822,48,32.88,712,115.44,0,0,1,55,23
H Masakadza (Zim),31,31,1,833,79,27.76,732,113.79,0,7,0,74,24
MN Samuels (WI),35,33,5,834,85,29.78,685,121.75,0,7,0,62,43
Kamran Akmal (Pak),54,49,6,897,73,20.86,745,120.4,0,5,6,90,27
V Kohli (India),27,25,5,906,78,45.3,697,129.98,0,8,0,96,19
DJ Bravo (WI),49,45,11,906,66,26.64,755,120,0,3,4,54,40
CL White (Aus),44,41,12,918,85,31.65,686,133.81,0,5,3,64,43
SK Raina (India),43,37,9,922,101,32.92,679,135.78,1,3,1,85,33
G Gambhir (India),37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
AD Hales (Eng),31,31,5,956,116,36.76,701,136.37,1,6,3,102,29
Shoaib Malik (Pak),59,55,13,959,57,22.83,901,106.43,0,3,1,77,18
Yuvraj Singh (India),40,37,6,968,77,31.22,669,144.69,0,8,0,61,63
GC Smith (SA),33,33,2,982,89,31.67,770,127.53,0,5,1,123,26
AB de Villiers (SA),57,54,9,1007,79,22.37,804,125.24,0,5,4,82,30
LRPL Taylor (NZ),59,53,9,1060,63,24.09,879,120.59,0,5,4,68,42
EJG Morgan (Eng),48,47,10,1071,85,28.94,827,129.5,0,5,1,99,37
SR Watson (Aus),45,43,3,1074,81,26.85,734,146.32,0,10,3,83,66
Shahid Afridi (Pak),74,69,11,1112,54,19.17,772,144.04,0,4,6,89,46
KP Pietersen (Eng),37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
Umar Akmal (Pak),56,53,9,1221,94,27.75,1000,122.1,0,6,7,94,35
CH Gayle (WI),42,41,3,1239,117,32.6,914,135.55,1,11,2,108,72
MJ Guptill (NZ),47,45,6,1241,101,31.82,1017,122.02,1,5,2,110,49
Mohammad Hafeez (Pak),58,56,3,1305,86,24.62,1131,115.38,0,7,5,135,32
JP Duminy (SA),55,50,14,1342,96,37.27,1078,124.48,0,7,6,105,42
KC Sangakkara (SL),56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20
DA Warner (Aus),51,51,2,1391,90,28.38,1001,138.96,0,10,5,133,63
TM Dilshan (SL),61,60,10,1452,104,29.04,1217,119.3,1,9,8,168,27
DPMD Jayawardene (SL),55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
BB McCullum (NZ),68,67,10,2044,123,35.85,1505,135.81,2,13,3,192,85
